Week,Blockchain: (Worldwide)
3/19/2017,19
3/26/2017,17
4/2/2017,17
4/9/2017,17
4/16/2017,17
4/23/2017,19
4/30/2017,20
5/7/2017,22
5/14/2017,24
5/21/2017,30
5/28/2017,27
6/4/2017,29
6/11/2017,30
6/18/2017,29
6/25/2017,28
7/2/2017,25
7/9/2017,25
7/16/2017,26
7/23/2017,26
7/30/2017,27
8/6/2017,27
8/13/2017,32
8/20/2017,35
8/27/2017,34
9/3/2017,34
9/10/2017,35
9/17/2017,34
9/24/2017,34
10/1/2017,35
10/8/2017,41
10/15/2017,45
10/22/2017,45
10/29/2017,49
11/5/2017,53
11/12/2017,52
11/19/2017,52
11/26/2017,71
12/3/2017,91
12/10/2017,91
12/17/2017,100
12/24/2017,70
12/31/2017,77
1/7/2018,89
1/14/2018,77
1/21/2018,73
1/28/2018,64
2/4/2018,58
2/11/2018,55
2/18/2018,56
2/25/2018,53
3/4/2018,52
3/11/2018,50
