Week,Crytocurrency: (Worldwide)
3/19/2017,3
3/26/2017,4
4/2/2017,4
4/9/2017,2
4/16/2017,4
4/23/2017,4
4/30/2017,8
5/7/2017,7
5/14/2017,10
5/21/2017,17
5/28/2017,10
6/4/2017,18
6/11/2017,28
6/18/2017,19
6/25/2017,19
7/2/2017,12
7/9/2017,14
7/16/2017,16
7/23/2017,15
7/30/2017,14
8/6/2017,20
8/13/2017,20
8/20/2017,24
8/27/2017,25
9/3/2017,25
9/10/2017,16
9/17/2017,20
9/24/2017,13
10/1/2017,18
10/8/2017,20
10/15/2017,21
10/22/2017,18
10/29/2017,18
11/5/2017,20
11/12/2017,22
11/19/2017,26
11/26/2017,63
12/3/2017,60
12/10/2017,85
12/17/2017,91
12/24/2017,75
12/31/2017,100
1/7/2018,92
1/14/2018,74
1/21/2018,59
1/28/2018,51
2/4/2018,46
2/11/2018,33
2/18/2018,32
2/25/2018,25
3/4/2018,19
3/11/2018,20
